fecha,PM25LE
01jan2009,13.762501
02jan2009,12.550001
03jan2009,11.816668
04jan2009,9.2791672
05jan2009,10.341665
06jan2009,8.4166679
07jan2009,11.920832
08jan2009,14.933333
09jan2009,13.904349
10jan2009,13.429168
11jan2009,11.758333
12jan2009,10.316667
13jan2009,13.904167
14jan2009,8.1374998
15jan2009,7.3833337
16jan2009,12.554167
17jan2009,6.5875001
18jan2009,11.354166
19jan2009,19.024998
20jan2009,14.337501
21jan2009,15.800001
22jan2009,18.512497
23jan2009,11.256078
24jan2009,8.4052696
25jan2009,6.6333337
26jan2009,7.3166666
27jan2009,8.7833347
28jan2009,9.4916658
29jan2009,10.579167
30jan2009,5.7416668
31jan2009,9.9708347
01-feb-09,9.0958328
02-feb-09,9.7375011
03-feb-09,9.7666664
04-feb-09,8.7458334
05-feb-09,6.9583335
06-feb-09,7.1791668
07-feb-09,10.554166
08-feb-09,8.2749987
09-feb-09,12.441669
10-feb-09,12.054167
11-feb-09,8.3083334
12-feb-09,10.787501
13-feb-09,7.8666668
14-feb-09,12.595832
15-feb-09,6.7124996
16-feb-09,9.5500011
17-feb-09,12.804166
18-feb-09,9.208334
19-feb-09,6.2916665
20-feb-09,7.6166663
21-feb-09,7.1083336
22-feb-09,10.170833
23-feb-09,10.375
24-feb-09,9.6791677
25-feb-09,10.204166
26-feb-09,11.791668
27-feb-09,13.754166
28-feb-09,12.695833
01-mar-09,7.8291669
02-mar-09,9.4833326
03-mar-09,11.037499
04-mar-09,11.061905
05-mar-09,13.7125
06-mar-09,12.891665
07-mar-09,19.800001
08-mar-09,12.079167
09-mar-09,15.470832
10-mar-09,14.770835
11-mar-09,34.837502
12-mar-09,31.070833
13-mar-09,18.300001
14-mar-09,15.340899
15-mar-09,9.7000008
16-mar-09,13.287499
17-mar-09,11.945832
18-mar-09,14.758335
19-mar-09,10.491668
20-mar-09,31.712496
21-mar-09,19.058334
22-mar-09,16.033333
23-mar-09,13.966665
24-mar-09,18.445833
25-mar-09,15.337502
26-mar-09,8.4333334
27-mar-09,24.95833
28-mar-09,13.775001
29-mar-09,11.125001
30-mar-09,20.683331
31-mar-09,47.849998
01apr2009,35.833336
02apr2009,7.2416663
03apr2009,27.604166
04apr2009,21.762499
05apr2009,39.875
06apr2009,29.344254
07apr2009,14.602905
08apr2009,18.86669
09apr2009,27.957897
10apr2009,18.441666
11apr2009,36.691662
12apr2009,55.174999
13apr2009,85.833328
14apr2009,53.979164
15apr2009,43.466667
16apr2009,37.681301
17apr2009,25.629166
18apr2009,41.904163
19apr2009,33.933334
20apr2009,46.640633
21apr2009,46.664902
22apr2009,22.291668
23apr2009,103.82224
24apr2009,112.95831
25apr2009,59.683327
26apr2009,57.537495
27apr2009,68.77916
28apr2009,57.466671
29apr2009,81.091286
30apr2009,82.054169
01-may-09,111.55418
02-may-09,54.604164
03-may-09,54.033333
04-may-09,56.324997
05-may-09,59.449989
06-may-09,80.054153
07-may-09,63.79166
08-may-09,72.25
09-may-09,54.091671
10-may-09,42.712498
11-may-09,74.804176
12-may-09,137.58652
13-may-09,175.60912
14-may-09,171.77498
15-may-09,58.570824
16-may-09,56.112495
17-may-09,85.645836
18-may-09,77.916672
19-may-09,42.000004
20-may-09,21.671825
21-may-09,38.125004
22-may-09,20.133333
23-may-09,98.520844
24-may-09,56.787498
25-may-09,96.470818
26-may-09,103.83749
27-may-09,232.43338
28-may-09,189.32497
29-may-09,185.92799
30-may-09,93.770889
31-may-09,111.51292
01-jun-09,109.01811
02-jun-09,161.74321
03-jun-09,131.66666
04-jun-09,105.12608
05-jun-09,127.08332
06-jun-09,98.15416
07-jun-09,45.537495
08-jun-09,48.175003
09-jun-09,143.02083
10-jun-09,128.69586
11-jun-09,184.76668
12-jun-09,155.10002
13-jun-09,110.20419
